feature,pearson_corr,pearson_p,pearson_significant,spearman_corr,spearman_p,spearman_significant,pearson_p_corrected,pearson_significant_corrected,spearman_p_corrected,spearman_significant_corrected,pearson_strength,spearman_strength
sentiment_subjectivity,0.025336096870980145,2.3629373509393045e-12,True,0.027296491729891622,4.224681337384647e-14,True,2.3629373509393043e-11,True,4.224681337384647e-13,True,trascurabile,trascurabile
formal_language_score,0.020404571088395284,1.6404602642496188e-08,True,0.007703272681422201,0.03305649434032119,True,8.202301321248094e-08,True,0.07686148376099539,False,trascurabile,trascurabile
type_token_ratio,0.019647675117779168,5.427547739617035e-08,True,-0.006609564691690872,0.067433416001495,False,1.8091825798723451e-07,True,0.10194422379522527,False,trascurabile,trascurabile
sentiment_polarity,0.01893362040468914,1.613781373948374e-07,True,0.020044171217533692,2.915459061919927e-08,True,4.0344534348709347e-07,True,1.4577295309599634e-07,True,trascurabile,trascurabile
vocabulary_richness,0.014690258605166463,4.808096484901184e-05,True,-0.006517040216306667,0.07136095665665769,False,9.616192969802367e-05,True,0.10194422379522527,False,trascurabile,trascurabile
avg_word_length,0.013154629238249817,0.00027282851413651664,True,-0.000455213445017901,0.8997716281444619,False,0.00045471419022752774,True,0.8997716281444619,False,trascurabile,trascurabile
culture_score,0.011337447229887256,0.0017069772444198033,True,0.0019977902759640786,0.5804310344038226,False,0.0024385389205997194,True,0.6449233715598028,False,trascurabile,trascurabile
stance_score,0.010391194915160516,0.004038420852765171,True,0.010618456368563471,0.0033030557196654605,True,0.005048026065956463,True,0.011010185732218201,True,trascurabile,trascurabile
long_words_ratio,0.004191753539235376,0.24613343205099772,False,0.005037520687291708,0.1633763956761953,False,0.27348159116777526,False,0.2042204945952441,False,trascurabile,trascurabile
flesch_reading_ease,0.0029066079939646153,0.42127523668251826,False,0.007482214405134823,0.03843074188049769,True,0.42127523668251826,False,0.07686148376099539,False,trascurabile,trascurabile
